# JMH version: 1.35
# VM version: JDK 17.0.8, OpenJDK 64-Bit Server VM, 17.0.8+7-b1000.22
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\lib\idea_rt.jar=56617:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2023.2.2\bin -Dfile.encoding=UTF-8
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 10 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.example.SparseMatrixBenchmark.testApacheSparseMatrixMultiplication
# Parameters: (n = 256)

# Run progress: 0,00% complete, ETA 00:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 22,301 ms/op
# Warmup Iteration   2: 21,705 ms/op
# Warmup Iteration   3: 21,236 ms/op
# Warmup Iteration   4: 21,356 ms/op
# Warmup Iteration   5: 20,988 ms/op
# Warmup Iteration   6: 20,770 ms/op
# Warmup Iteration   7: 20,804 ms/op
# Warmup Iteration   8: 20,846 ms/op
# Warmup Iteration   9: 20,813 ms/op
# Warmup Iteration  10: 21,102 ms/op
Iteration   1: 20,919 ms/op
Iteration   2: 20,797 ms/op
Iteration   3: 20,918 ms/op
Iteration   4: 20,765 ms/op
Iteration   5: 20,790 ms/op
Iteration   6: 20,870 ms/op
Iteration   7: 21,002 ms/op
Iteration   8: 20,811 ms/op
Iteration   9: 20,845 ms/op
Iteration  10: 20,820 ms/op

# Run progress: 3,33% complete, ETA 00:10:19
# Fork: 2 of 5
# Warmup Iteration   1: 22,118 ms/op
# Warmup Iteration   2: 21,629 ms/op
# Warmup Iteration   3: 21,221 ms/op
# Warmup Iteration   4: 21,231 ms/op
# Warmup Iteration   5: 21,286 ms/op
# Warmup Iteration   6: 21,112 ms/op
# Warmup Iteration   7: 21,083 ms/op
# Warmup Iteration   8: 21,051 ms/op
# Warmup Iteration   9: 20,878 ms/op
# Warmup Iteration  10: 21,286 ms/op
Iteration   1: 21,329 ms/op
Iteration   2: 21,158 ms/op
Iteration   3: 21,247 ms/op
Iteration   4: 21,191 ms/op
Iteration   5: 21,205 ms/op
Iteration   6: 21,137 ms/op
Iteration   7: 21,114 ms/op
Iteration   8: 21,104 ms/op
Iteration   9: 21,003 ms/op
Iteration  10: 21,094 ms/op

# Run progress: 6,67% complete, ETA 00:09:56
# Fork: 3 of 5
# Warmup Iteration   1: 22,144 ms/op
# Warmup Iteration   2: 21,415 ms/op
# Warmup Iteration   3: 21,012 ms/op
# Warmup Iteration   4: 21,274 ms/op
# Warmup Iteration   5: 21,033 ms/op
# Warmup Iteration   6: 20,990 ms/op
# Warmup Iteration   7: 20,991 ms/op
# Warmup Iteration   8: 20,997 ms/op
# Warmup Iteration   9: 20,995 ms/op
# Warmup Iteration  10: 21,196 ms/op
Iteration   1: 21,046 ms/op
Iteration   2: 20,961 ms/op
Iteration   3: 21,047 ms/op
Iteration   4: 21,028 ms/op
Iteration   5: 21,006 ms/op
Iteration   6: 21,049 ms/op
Iteration   7: 20,973 ms/op
Iteration   8: 20,988 ms/op
Iteration   9: 20,967 ms/op
Iteration  10: 21,144 ms/op

# Run progress: 10,00% complete, ETA 00:09:34
# Fork: 4 of 5
# Warmup Iteration   1: 22,822 ms/op
# Warmup Iteration   2: 22,318 ms/op
# Warmup Iteration   3: 21,915 ms/op
# Warmup Iteration   4: 21,947 ms/op
# Warmup Iteration   5: 21,868 ms/op
# Warmup Iteration   6: 22,061 ms/op
# Warmup Iteration   7: 21,966 ms/op
# Warmup Iteration   8: 21,801 ms/op
# Warmup Iteration   9: 21,886 ms/op
# Warmup Iteration  10: 21,865 ms/op
Iteration   1: 21,907 ms/op
Iteration   2: 21,789 ms/op
Iteration   3: 21,816 ms/op
Iteration   4: 21,961 ms/op
Iteration   5: 21,963 ms/op
Iteration   6: 21,803 ms/op
Iteration   7: 21,748 ms/op
Iteration   8: 21,739 ms/op
Iteration   9: 21,886 ms/op
Iteration  10: 21,888 ms/op

# Run progress: 13,33% complete, ETA 00:09:13
# Fork: 5 of 5
# Warmup Iteration   1: 22,440 ms/op
# Warmup Iteration   2: 21,807 ms/op
# Warmup Iteration   3: 21,346 ms/op
# Warmup Iteration   4: 21,499 ms/op
